,,n/a,ARHGAP22,Arp2_3,CP,Cdc42,Cofilin,Coronin,Cortactin,Dia1,Dia2,Ena_Vasp,IRSp53_Cdc42,IRSp53_Rac1,LIMK,NET1,PAK,PIP2,PKD,Profilin,ROCK,ROS,Rac1,RhoA,SSH,Thymosin,WASP,WAVE
Dia2,BR,43,80,0,45,9,35,40,40,39,,41,43,39,45,49,0,45,60,49,81,33,26,61,36,55,11,36
Dia2,ST,48,51,61,92,42,58,51,46,27,,24,48,49,46,46,63,9,47,0,45,47,49,42,52,53,11,45
Ena_Vasp,BR,40,78,0,47,10,35,35,37,42,41,,41,37,43,43,0,45,53,43,77,38,28,63,35,55,5,36
Ena_Vasp,ST,39,29,55,85,42,56,43,36,21,24,,38,42,31,36,59,9,24,0,16,42,45,6,47,41,2,41
IRSp53_Cdc42,BR,45,80,0,45,9,37,40,40,39,43,41,,40,46,49,0,46,60,49,80,35,27,62,37,53,9,34
IRSp53_Cdc42,ST,66,86,60,93,50,60,60,60,43,48,38,,64,65,63,65,43,77,0,88,66,66,70,59,74,8,60
IRSp53_Rac1,BR,38,75,0,39,8,34,36,36,38,39,37,40,,43,45,0,41,43,45,69,33,27,48,31,52,12,34
IRSp53_Rac1,ST,62,81,59,93,51,59,59,60,44,49,42,64,,65,61,64,39,72,0,83,66,63,63,58,73,10,58
LIMK,BR,46,82,0,49,8,38,42,44,44,45,43,46,43,,52,0,52,61,49,80,39,32,62,40,54,12,38
LIMK,ST,67,88,61,95,50,62,62,65,48,46,31,65,65,,65,66,47,77,0,88,71,68,71,61,73,14,62
NET1,BR,49,78,0,59,19,43,47,46,41,49,43,49,45,52,,0,44,64,55,78,34,28,61,43,60,17,40
NET1,ST,63,81,61,87,45,61,59,61,43,46,36,63,61,65,,61,40,74,0,84,66,66,71,57,73,21,55
PAK,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
PAK,ST,64,70,63,95,44,60,62,64,39,63,59,65,64,66,61,,37,67,0,71,64,65,33,62,76,4,64
PIP2,BR,44,71,0,47,6,36,40,45,43,45,45,46,41,52,44,0,,48,46,68,42,35,60,35,54,5,37
PIP2,ST,41,84,36,98,9,39,33,40,40,9,9,43,39,47,40,37,,55,0,81,43,39,52,32,47,2,35
PKD,BR,60,82,0,77,34,47,43,43,42,60,53,60,43,61,64,0,48,,62,79,47,16,59,37,66,14,36
PKD,ST,75,91,59,98,56,65,63,63,56,47,24,77,72,77,74,67,55,,0,88,71,65,69,60,80,12,65
Profilin,BR,46,83,0,50,10,43,43,48,40,49,43,49,45,49,55,0,46,62,,83,41,36,64,41,54,23,42
Profilin,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ROCK,BR,80,82,0,95,63,69,82,58,63,81,77,80,69,80,78,0,68,79,83,,81,20,64,79,82,36,59
ROCK,ST,88,91,53,100,81,81,85,71,81,45,16,88,83,88,84,71,81,88,0,,89,63,74,80,90,30,73
ROS,BR,33,84,0,33,6,29,29,34,38,33,38,35,33,39,34,0,42,47,41,81,,27,63,27,53,2,30
ROS,ST,65,90,63,94,49,63,64,68,45,47,42,66,66,71,66,64,43,71,0,89,,63,70,63,76,5,63
Rac1,BR,27,25,0,24,0,24,28,28,32,26,28,27,27,32,28,0,35,16,36,20,27,,26,28,44,0,25
Rac1,ST,65,63,63,95,45,60,65,66,41,49,45,66,63,68,66,65,39,65,0,63,63,,27,62,74,2,64
RhoA,BR,62,70,0,60,29,50,64,53,60,61,63,62,48,62,61,0,60,59,64,64,63,26,,62,66,26,42
RhoA,ST,71,77,32,79,43,61,65,59,68,42,6,70,63,71,71,33,52,69,0,74,70,27,,66,79,12,55
SSH,BR,35,82,0,39,1,35,39,36,35,36,35,37,31,40,43,0,35,37,41,79,27,28,62,,50,9,34
SSH,ST,58,86,60,92,44,60,60,59,38,52,47,59,58,61,57,62,32,60,0,80,63,62,66,,73,11,58
Thymosin,BR,54,83,0,56,10,55,49,54,53,55,55,53,52,54,60,0,54,66,54,82,53,44,66,50,,,
Thymosin,ST,73,92,75,100,55,79,69,72,72,53,41,74,73,73,73,76,47,80,0,90,76,74,79,73,,,
WASP,BR,12,51,0,21,3,10,10,5,5,11,5,9,12,12,17,0,5,14,23,36,2,0,26,9,,,
WASP,ST,14,37,12,60,2,12,11,12,3,11,2,8,10,14,21,4,2,12,0,30,5,2,12,11,,,
WAVE,BR,35,62,0,38,6,30,36,26,35,36,36,34,34,38,40,0,37,36,42,59,30,25,42,34,,,
WAVE,ST,59,56,57,89,47,54,59,59,38,45,41,60,58,62,55,64,35,65,0,73,63,64,55,58,,,
