,base,ARHGAP22,ARHGAP22_Arp2_3,ARHGAP22_CP,ARHGAP22_Cdc42,ARHGAP22_Cofilin,ARHGAP22_Coronin,ARHGAP22_Cortactin,ARHGAP22_Dia1,ARHGAP22_Dia2,ARHGAP22_Ena_Vasp,ARHGAP22_IRSp53_Cdc42,ARHGAP22_IRSp53_Rac1,ARHGAP22_LIMK,ARHGAP22_NET1,ARHGAP22_PAK,ARHGAP22_PIP2,ARHGAP22_PKD,ARHGAP22_Profilin,ARHGAP22_ROCK,ARHGAP22_ROS,ARHGAP22_Rac1,ARHGAP22_RhoA,ARHGAP22_SSH,ARHGAP22_Thymosin,ARHGAP22_WASP,ARHGAP22_WAVE,Arp2_3,Arp2_3_CP,Arp2_3_Cdc42,Arp2_3_Cofilin,Arp2_3_Coronin,Arp2_3_Cortactin,Arp2_3_Dia1,Arp2_3_Dia2,Arp2_3_Ena_Vasp,Arp2_3_IRSp53_Cdc42,Arp2_3_IRSp53_Rac1,Arp2_3_LIMK,Arp2_3_NET1,Arp2_3_PAK,Arp2_3_PIP2,Arp2_3_PKD,Arp2_3_Profilin,Arp2_3_ROCK,Arp2_3_ROS,Arp2_3_Rac1,Arp2_3_RhoA,Arp2_3_SSH,Arp2_3_Thymosin,Arp2_3_WASP,Arp2_3_WAVE,CP,CP_Cdc42,CP_Cofilin,CP_Coronin,CP_Cortactin,CP_Dia1,CP_Dia2,CP_Ena_Vasp,CP_IRSp53_Cdc42,CP_IRSp53_Rac1,CP_LIMK,CP_NET1,CP_PAK,CP_PIP2,CP_PKD,CP_Profilin,CP_ROCK,CP_ROS,CP_Rac1,CP_RhoA,CP_SSH,CP_Thymosin,CP_WASP,CP_WAVE,Cdc42,Cdc42_Cofilin,Cdc42_Coronin,Cdc42_Cortactin,Cdc42_Dia1,Cdc42_Dia2,Cdc42_Ena_Vasp,Cdc42_IRSp53_Cdc42,Cdc42_IRSp53_Rac1,Cdc42_LIMK,Cdc42_NET1,Cdc42_PAK,Cdc42_PIP2,Cdc42_PKD,Cdc42_Profilin,Cdc42_ROCK,Cdc42_ROS,Cdc42_Rac1,Cdc42_RhoA,Cdc42_SSH,Cdc42_Thymosin,Cdc42_WASP,Cdc42_WAVE,Cofilin,Cofilin_Coronin,Cofilin_Cortactin,Cofilin_Dia1,Cofilin_Dia2,Cofilin_Ena_Vasp,Cofilin_IRSp53_Cdc42,Cofilin_IRSp53_Rac1,Cofilin_LIMK,Cofilin_NET1,Cofilin_PAK,Cofilin_PIP2,Cofilin_PKD,Cofilin_Profilin,Cofilin_ROCK,Cofilin_ROS,Cofilin_Rac1,Cofilin_RhoA,Cofilin_SSH,Cofilin_Thymosin,Cofilin_WASP,Cofilin_WAVE,Coronin,Coronin_Cortactin,Coronin_Dia1,Coronin_Dia2,Coronin_Ena_Vasp,Coronin_IRSp53_Cdc42,Coronin_IRSp53_Rac1,Coronin_LIMK,Coronin_NET1,Coronin_PAK,Coronin_PIP2,Coronin_PKD,Coronin_Profilin,Coronin_ROCK,Coronin_ROS,Coronin_Rac1,Coronin_RhoA,Coronin_SSH,Coronin_Thymosin,Coronin_WASP,Coronin_WAVE,Cortactin,Cortactin_Dia1,Cortactin_Dia2,Cortactin_Ena_Vasp,Cortactin_IRSp53_Cdc42,Cortactin_IRSp53_Rac1,Cortactin_LIMK,Cortactin_NET1,Cortactin_PAK,Cortactin_PIP2,Cortactin_PKD,Cortactin_Profilin,Cortactin_ROCK,Cortactin_ROS,Cortactin_Rac1,Cortactin_RhoA,Cortactin_SSH,Cortactin_Thymosin,Cortactin_WASP,Cortactin_WAVE,Dia1,Dia1_Dia2,Dia1_Ena_Vasp,Dia1_IRSp53_Cdc42,Dia1_IRSp53_Rac1,Dia1_LIMK,Dia1_NET1,Dia1_PAK,Dia1_PIP2,Dia1_PKD,Dia1_Profilin,Dia1_ROCK,Dia1_ROS,Dia1_Rac1,Dia1_RhoA,Dia1_SSH,Dia1_Thymosin,Dia1_WASP,Dia1_WAVE,Dia2,Dia2_Ena_Vasp,Dia2_IRSp53_Cdc42,Dia2_IRSp53_Rac1,Dia2_LIMK,Dia2_NET1,Dia2_PAK,Dia2_PIP2,Dia2_PKD,Dia2_Profilin,Dia2_ROCK,Dia2_ROS,Dia2_Rac1,Dia2_RhoA,Dia2_SSH,Dia2_Thymosin,Dia2_WASP,Dia2_WAVE,Ena_Vasp,Ena_Vasp_IRSp53_Cdc42,Ena_Vasp_IRSp53_Rac1,Ena_Vasp_LIMK,Ena_Vasp_NET1,Ena_Vasp_PAK,Ena_Vasp_PIP2,Ena_Vasp_PKD,Ena_Vasp_Profilin,Ena_Vasp_ROCK,Ena_Vasp_ROS,Ena_Vasp_Rac1,Ena_Vasp_RhoA,Ena_Vasp_SSH,Ena_Vasp_Thymosin,Ena_Vasp_WASP,Ena_Vasp_WAVE,IRSp53_Cdc42,IRSp53_Cdc42_IRSp53_Rac1,IRSp53_Cdc42_LIMK,IRSp53_Cdc42_NET1,IRSp53_Cdc42_PAK,IRSp53_Cdc42_PIP2,IRSp53_Cdc42_PKD,IRSp53_Cdc42_Profilin,IRSp53_Cdc42_ROCK,IRSp53_Cdc42_ROS,IRSp53_Cdc42_Rac1,IRSp53_Cdc42_RhoA,IRSp53_Cdc42_SSH,IRSp53_Cdc42_Thymosin,IRSp53_Cdc42_WASP,IRSp53_Cdc42_WAVE,IRSp53_Rac1,IRSp53_Rac1_LIMK,IRSp53_Rac1_NET1,IRSp53_Rac1_PAK,IRSp53_Rac1_PIP2,IRSp53_Rac1_PKD,IRSp53_Rac1_Profilin,IRSp53_Rac1_ROCK,IRSp53_Rac1_ROS,IRSp53_Rac1_Rac1,IRSp53_Rac1_RhoA,IRSp53_Rac1_SSH,IRSp53_Rac1_Thymosin,IRSp53_Rac1_WASP,IRSp53_Rac1_WAVE,LIMK,LIMK_NET1,LIMK_PAK,LIMK_PIP2,LIMK_PKD,LIMK_Profilin,LIMK_ROCK,LIMK_ROS,LIMK_Rac1,LIMK_RhoA,LIMK_SSH,LIMK_Thymosin,LIMK_WASP,LIMK_WAVE,NET1,NET1_PAK,NET1_PIP2,NET1_PKD,NET1_Profilin,NET1_ROCK,NET1_ROS,NET1_Rac1,NET1_RhoA,NET1_SSH,NET1_Thymosin,NET1_WASP,NET1_WAVE,PAK,PAK_PIP2,PAK_PKD,PAK_Profilin,PAK_ROCK,PAK_ROS,PAK_Rac1,PAK_RhoA,PAK_SSH,PAK_Thymosin,PAK_WASP,PAK_WAVE,PIP2,PIP2_PKD,PIP2_Profilin,PIP2_ROCK,PIP2_ROS,PIP2_Rac1,PIP2_RhoA,PIP2_SSH,PIP2_Thymosin,PIP2_WASP,PIP2_WAVE,PKD,PKD_Profilin,PKD_ROCK,PKD_ROS,PKD_Rac1,PKD_RhoA,PKD_SSH,PKD_Thymosin,PKD_WASP,PKD_WAVE,Profilin,Profilin_ROCK,Profilin_ROS,Profilin_Rac1,Profilin_RhoA,Profilin_SSH,Profilin_Thymosin,Profilin_WASP,Profilin_WAVE,ROCK,ROCK_ROS,ROCK_Rac1,ROCK_RhoA,ROCK_SSH,ROCK_Thymosin,ROCK_WASP,ROCK_WAVE,ROS,ROS_Rac1,ROS_RhoA,ROS_SSH,ROS_Thymosin,ROS_WASP,ROS_WAVE,Rac1,Rac1_RhoA,Rac1_SSH,Rac1_Thymosin,Rac1_WASP,Rac1_WAVE,RhoA,RhoA_SSH,RhoA_Thymosin,RhoA_WASP,RhoA_WAVE,SSH,SSH_Thymosin,SSH_WASP,SSH_WAVE,Thymosin,WASP,WAVE,mean
Dia2,93,99,79,99,100,94,100,90,98,0,99,99,93,99,87,100,100,100,100,100,100,100,70,99,100,83,87,94,89,97,94,96,95,100,0,94,95,94,94,90,100,100,88,95,80,100,100,0,96,95,95,94,92,100,89,89,90,96,0,91,92,91,92,82,100,92,100,91,100,100,100,60,89,92,90,88,100,100,100,99,100,0,100,100,100,100,89,100,100,100,100,100,100,100,29,100,100,97,100,93,92,93,96,0,95,93,93,93,87,100,95,95,94,94,100,100,50,92,92,94,91,91,90,94,0,94,91,92,90,86,100,93,91,91,100,100,100,64,91,89,95,91,92,96,0,94,92,92,91,87,100,95,93,93,90,100,100,53,92,92,94,92,96,0,96,96,95,96,95,100,95,100,96,100,100,100,60,95,92,99,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,96,94,95,94,100,95,100,95,100,100,100,63,95,92,97,94,93,92,93,88,100,95,100,93,100,100,100,62,92,92,93,92,93,92,86,100,94,93,92,92,100,100,48,93,91,94,92,93,87,100,94,100,92,100,100,100,62,91,92,92,91,88,91,94,95,87,89,100,100,61,87,86,90,85,100,100,100,100,100,100,100,0,100,100,100,100,95,100,95,100,100,100,60,95,92,99,94,100,100,100,100,100,59,92,100,72,90,93,100,100,100,64,91,92,95,93,100,100,100,64,100,100,68,88,100,100,63,100,100,100,100,100,0,100,100,100,100,62,62,66,26,42,93,90,95,92,92,92,91,84.89111747851003
Ena_Vasp,99,93,85,93,86,90,92,89,98,93,0,87,93,92,92,97,98,88,92,87,99,97,89,91,99,76,89,97,98,94,97,100,97,97,97,0,94,97,97,95,97,96,63,97,61,98,98,66,100,98,96,96,99,99,97,100,98,99,99,0,96,99,99,94,99,100,85,99,95,100,98,83,100,100,95,98,98,94,100,95,98,98,0,98,98,98,95,95,97,48,98,74,98,95,66,100,99,88,97,97,100,96,97,96,0,92,97,97,95,97,96,66,97,69,98,97,69,100,99,95,96,100,100,100,100,0,97,100,100,97,100,100,67,100,81,100,100,79,100,100,100,99,97,98,97,0,95,97,97,96,97,97,65,98,72,99,97,74,100,98,95,97,99,99,0,98,99,99,99,97,98,72,99,85,99,97,81,100,99,94,98,99,0,97,99,98,98,97,98,74,99,86,99,98,83,100,99,94,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,96,96,99,69,95,80,99,97,81,97,99,83,96,99,98,97,97,99,73,98,84,99,98,84,100,99,94,98,99,98,97,99,74,99,85,99,98,83,100,99,94,98,98,95,99,75,98,88,99,98,84,98,99,91,95,97,95,65,97,65,97,97,67,100,98,95,97,98,60,99,82,99,96,73,100,99,94,98,74,73,86,71,67,84,66,80,40,72,99,86,99,97,85,100,99,94,98,85,85,67,87,74,90,52,84,99,97,83,100,99,96,98,98,66,100,98,97,98,84,74,88,50,77,100,100,100,99,99,95,98,85.43553008595988
IRSp53_Cdc42,50,50,49,48,0,50,49,49,50,48,48,0,51,50,52,50,49,51,49,49,50,48,48,48,51,48,46,52,51,0,50,48,49,51,53,51,0,49,50,50,50,51,50,49,51,53,50,49,51,51,52,49,49,0,51,50,50,51,49,51,0,50,50,49,48,50,51,50,49,50,50,48,51,50,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,51,51,48,50,0,50,50,48,49,51,50,50,48,52,50,50,50,50,48,51,50,51,51,50,48,0,51,49,49,49,49,51,50,50,50,49,49,51,49,49,51,51,51,50,48,0,50,51,49,50,52,49,51,50,52,51,50,50,50,48,49,51,48,51,0,50,50,50,51,49,49,47,49,50,49,48,49,50,49,50,49,51,0,51,49,50,49,52,51,51,50,51,50,50,49,51,49,51,49,0,52,50,50,50,50,47,51,49,51,49,50,51,51,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,50,52,51,49,49,48,51,50,49,49,49,50,47,49,50,51,51,50,49,50,50,51,51,48,50,53,50,49,50,48,51,51,51,50,51,49,49,49,49,49,51,51,49,51,49,49,49,50,48,51,49,52,49,49,50,50,50,50,49,50,50,51,50,51,48,51,49,51,47,50,51,40,51,48,52,51,49,51,51,49,51,48,50,52,51,49,48,50,52,51,49,50,51,50,50,52,49,50,50,50,49,51,50,51,50,51,50,49,48,50,50,50,49,52,51,42.58166189111748
IRSp53_Rac1,22,81,20,94,67,73,83,69,63,80,78,80,0,82,78,51,71,82,83,82,84,0,70,82,83,52,65,7,16,2,7,6,7,0,7,7,7,0,7,14,4,0,14,7,21,4,0,0,5,8,8,7,28,12,26,17,26,17,28,30,28,0,28,43,10,27,76,29,95,8,0,60,18,29,21,23,9,8,1,6,6,9,10,9,0,9,19,4,6,34,10,63,6,0,29,1,10,5,7,20,13,15,14,19,16,19,0,20,26,4,15,43,24,69,6,0,50,12,28,9,12,15,15,11,15,11,15,0,15,23,0,12,15,15,82,0,0,64,14,17,8,12,21,15,21,18,20,0,22,28,5,19,43,27,65,7,0,53,12,27,7,10,17,17,17,16,0,17,17,0,18,35,19,63,6,0,60,9,25,5,8,23,20,22,0,24,29,5,20,56,26,81,7,0,61,13,28,10,15,20,19,0,21,22,4,20,48,22,77,6,0,63,10,27,6,12,24,0,23,30,5,19,56,27,80,7,0,62,13,26,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,4,22,57,26,80,7,0,62,14,27,11,15,29,13,21,62,35,78,7,0,61,21,35,15,21,4,0,25,4,50,4,0,0,0,5,4,4,20,42,23,68,5,0,60,9,26,5,9,56,58,79,40,0,59,13,61,15,35,26,83,8,0,64,15,28,19,22,80,84,0,64,79,82,37,62,7,0,63,0,7,5,6,0,0,0,0,0,0,62,62,66,26,42,12,16,7,11,27,11,15,24.106017191977077
LIMK,82,29,79,13,54,36,32,31,48,31,38,30,39,0,31,91,43,3,27,1,91,91,1,100,26,61,36,91,90,91,90,100,91,91,92,90,91,90,0,91,91,92,31,90,15,93,92,34,100,91,90,90,80,87,80,95,81,84,80,79,80,82,0,77,90,81,14,79,0,92,93,2,100,79,88,84,86,88,99,89,89,86,85,88,88,0,86,92,88,26,87,0,92,91,0,100,86,88,89,82,96,84,84,82,83,83,86,0,81,92,82,21,79,1,93,92,2,100,78,88,87,96,95,96,95,96,95,97,0,94,100,96,85,95,0,100,100,1,100,95,98,97,83,85,82,82,83,86,0,81,91,82,20,78,1,92,91,2,100,78,90,89,84,83,83,84,85,0,82,91,83,27,82,2,92,91,2,100,80,88,89,82,82,82,85,0,80,91,81,20,79,1,92,92,2,100,78,89,87,82,83,85,0,78,91,81,23,80,1,92,92,1,100,79,87,86,80,83,0,79,90,82,20,78,1,92,92,2,100,79,87,86,84,0,83,92,86,21,80,1,92,92,3,100,82,88,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,90,79,16,75,1,92,93,2,100,75,89,84,92,90,33,92,0,91,93,0,100,90,90,92,81,23,79,1,93,92,2,100,79,88,89,20,19,1,28,56,2,100,17,23,21,78,0,91,90,1,100,79,83,82,1,1,36,2,80,0,5,1,92,92,2,100,91,92,92,93,37,100,92,93,92,2,64,0,13,3,100,100,100,99,78,89,87,63.9054441260745
NET1,46,17,31,5,33,19,16,19,32,19,20,18,16,16,0,100,27,17,16,18,15,52,29,17,17,22,20,46,46,96,48,52,49,49,45,47,47,49,48,0,100,49,40,49,30,45,50,51,49,48,47,49,45,88,43,50,45,46,45,43,44,45,44,0,100,45,20,45,5,46,50,38,49,44,44,43,91,92,99,93,94,91,90,91,91,91,0,100,94,66,90,37,94,100,71,99,90,92,93,46,49,47,46,49,46,47,46,46,0,100,46,35,45,20,46,50,36,50,45,49,45,50,49,49,49,51,49,49,51,0,100,51,48,50,18,50,51,35,48,51,50,48,45,47,46,48,47,47,45,0,100,46,37,45,21,46,49,40,50,45,50,48,47,49,46,48,47,47,0,100,48,46,49,34,49,51,38,50,47,49,49,47,45,46,45,47,0,100,45,33,44,18,47,50,36,50,45,47,45,46,46,44,46,0,100,47,38,45,22,47,51,35,48,45,46,48,44,44,46,0,100,45,31,44,19,46,51,36,51,47,46,49,46,45,0,100,46,35,46,20,47,50,36,50,46,46,49,46,0,100,45,34,46,19,47,49,36,51,46,44,47,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,47,45,46,31,48,50,37,50,46,47,48,34,35,19,36,49,38,50,32,34,35,47,16,46,51,34,49,46,45,47,19,15,49,33,20,18,20,22,48,50,35,50,47,45,49,50,50,50,51,49,50,35,36,34,39,40,52,50,50,50,46,45,46,45.787965616045845
PAK,54,83,57,95,67,81,84,73,68,81,80,82,83,84,80,0,73,83,84,82,85,48,71,83,83,74,76,53,53,2,51,48,50,51,54,52,52,51,50,57,0,51,54,50,59,55,50,49,51,52,53,50,55,12,57,50,55,54,55,57,56,55,56,68,0,55,80,55,95,54,50,62,51,56,56,56,9,8,1,6,6,9,10,9,9,9,19,0,6,34,10,63,6,0,29,1,10,5,7,54,51,52,54,51,54,53,54,54,58,0,54,64,55,79,54,50,64,50,55,50,53,50,51,51,51,49,51,51,49,56,0,49,52,50,82,50,49,65,52,49,50,51,54,53,53,51,53,53,54,58,0,54,58,55,72,54,51,60,50,55,49,51,53,51,54,52,53,53,53,0,52,54,51,66,51,49,62,50,53,51,51,53,55,54,55,53,59,0,55,67,55,82,53,50,64,50,55,52,54,54,54,56,54,55,0,53,62,55,78,53,49,65,52,55,52,52,56,56,54,60,0,55,69,56,81,54,49,64,49,53,53,50,54,55,59,0,54,65,53,80,53,50,64,50,54,54,51,54,59,0,55,66,54,81,53,51,64,49,54,55,53,58,0,52,70,61,79,53,51,64,55,60,55,58,0,0,0,0,0,0,0,0,0,0,0,0,53,55,54,69,52,50,63,50,54,53,52,66,65,81,64,51,62,50,68,44,64,53,84,54,49,66,51,54,55,52,81,85,51,67,80,82,63,78,52,50,65,50,53,55,51,50,50,50,49,51,50,65,64,66,61,60,48,50,50,50,54,53,53,50.53008595988538
PIP2,50,50,38,50,49,48,51,40,50,48,50,50,50,52,50,51,0,50,51,51,49,51,51,50,48,46,50,49,49,48,49,50,49,50,49,49,47,49,50,52,50,0,43,49,41,51,51,51,48,49,50,48,49,48,52,48,48,51,51,50,51,48,51,51,51,0,49,51,49,52,48,49,51,49,49,50,52,50,51,48,52,48,50,50,50,50,49,49,0,50,51,49,51,50,48,49,49,48,51,51,48,50,49,50,50,50,51,48,52,51,0,48,50,47,52,49,51,50,49,48,48,49,49,52,50,50,49,49,49,50,49,0,51,50,51,51,50,51,49,50,50,51,50,48,50,51,49,47,49,50,49,0,42,49,43,52,51,50,51,50,48,50,52,48,50,50,51,48,50,49,0,49,51,51,49,51,49,49,50,50,49,50,52,51,49,50,49,51,0,49,50,50,50,51,49,48,51,48,48,50,49,52,51,49,49,0,50,49,51,50,49,48,51,50,48,50,50,51,49,50,50,0,52,50,49,50,52,50,50,51,50,49,46,50,50,51,0,50,48,49,48,49,50,51,49,51,49,50,50,52,0,49,49,49,51,49,48,50,49,48,49,50,50,0,49,51,51,51,49,52,49,50,51,48,49,0,49,50,50,50,52,51,50,51,50,52,0,0,0,0,0,0,0,0,0,0,0,50,49,48,48,50,50,49,51,29,49,50,51,51,50,50,49,49,48,49,50,50,47,51,49,51,33,51,49,50,50,50,50,50,48,50,51,51,50,51,52,47,51,48,52,50,48,51,49,50,51,51,51,45.816618911174785
PKD,76,24,65,8,45,29,26,26,43,26,31,25,29,23,20,91,38,0,23,0,91,91,0,27,22,47,29,86,79,91,85,94,87,91,87,86,86,85,85,80,91,92,0,86,0,93,92,0,95,86,85,85,71,87,71,83,72,80,71,70,71,72,72,55,90,72,0,70,0,92,93,0,82,70,77,73,86,88,99,89,89,86,85,88,88,88,75,92,88,0,87,0,92,91,0,99,86,88,89,76,87,78,81,77,80,77,79,76,69,92,79,0,73,0,93,92,0,88,70,83,81,85,85,89,85,89,85,87,85,76,100,88,0,85,0,100,100,0,86,83,92,87,76,81,75,78,77,79,75,69,91,77,0,71,0,92,91,0,88,71,85,82,81,80,80,81,81,79,79,91,79,0,78,0,92,91,0,91,72,88,86,75,78,76,78,74,68,91,77,0,72,0,92,92,0,87,70,84,80,78,79,81,77,74,91,77,0,76,0,92,92,0,90,71,87,83,74,76,74,67,90,78,0,71,0,92,92,0,87,72,83,80,77,76,70,92,81,0,73,0,92,92,0,89,74,82,80,75,68,91,75,0,72,0,92,92,0,86,71,82,79,68,79,75,0,63,0,92,93,0,79,62,80,72,92,90,0,92,0,91,93,0,100,90,90,92,77,0,75,0,93,92,0,91,72,88,85,0,0,0,0,0,0,0,0,0,0,72,0,91,90,0,85,70,78,75,0,0,0,0,0,0,0,0,92,92,0,100,91,92,92,93,0,100,92,93,92,0,0,0,0,0,88,84,93,88,71,83,80,62.28080229226361
Profilin,68,88,51,97,81,83,87,78,79,87,87,86,84,88,87,70,85,91,0,91,90,63,87,86,92,41,60,63,90,43,58,61,62,40,63,62,60,59,61,61,63,36,59,0,53,63,63,38,60,75,12,57,94,96,92,93,92,47,93,94,93,93,95,89,95,98,98,0,100,94,95,79,92,100,60,89,53,47,45,45,27,49,51,50,51,51,48,44,10,56,0,81,49,45,62,44,56,6,47,62,59,59,41,60,61,61,59,62,62,60,39,65,0,81,63,60,70,60,79,12,54,64,65,44,65,61,64,63,66,63,62,40,67,0,85,64,65,77,62,75,12,62,66,45,65,63,64,63,69,65,64,46,64,0,75,68,66,68,61,77,12,60,46,45,48,45,47,51,46,39,45,56,0,81,45,41,77,40,76,6,41,67,66,67,67,69,66,65,47,75,0,89,66,64,78,60,79,16,62,65,65,64,69,66,62,47,74,0,88,64,61,80,60,78,8,63,68,67,68,67,65,48,77,0,88,66,66,80,62,77,14,63,65,69,65,64,45,75,0,88,66,63,78,60,77,11,61,70,69,66,54,77,0,88,71,68,79,65,77,17,66,66,62,46,76,0,89,66,66,79,60,78,23,59,64,37,67,0,71,64,65,39,62,76,4,64,46,55,0,81,43,39,71,35,56,8,41,75,0,88,71,65,79,62,80,19,69,0,0,0,0,0,0,0,0,0,88,89,63,83,82,90,50,78,65,63,79,63,76,6,63,65,41,62,74,2,64,79,73,88,34,68,59,76,11,59,77,16,62,58.421203438395416
ROCK,76,24,65,8,45,29,26,26,43,26,31,25,29,23,20,91,38,4,23,0,91,91,0,27,22,47,29,86,79,91,85,94,87,91,87,86,86,85,85,80,91,92,50,86,0,93,92,0,95,86,85,85,71,87,71,83,72,80,71,70,71,72,72,55,90,72,23,70,0,92,93,0,82,70,77,73,86,88,99,89,89,86,85,88,88,88,75,92,88,44,87,0,92,91,0,99,86,88,89,76,87,78,81,77,80,77,79,76,69,92,79,35,73,0,93,92,0,88,70,83,81,85,85,89,85,89,85,87,85,76,100,88,85,85,0,100,100,0,86,83,92,87,76,81,75,78,77,79,75,69,91,77,33,71,0,92,91,0,88,71,85,82,81,80,80,81,81,79,79,91,79,43,78,0,92,91,0,91,72,88,86,75,78,76,78,74,68,91,77,32,72,0,92,92,0,87,70,84,80,78,79,81,77,74,91,77,38,76,0,92,92,0,90,71,87,83,74,76,74,67,90,78,34,71,0,92,92,0,87,72,83,80,77,76,70,92,81,35,73,0,92,92,0,89,74,82,80,75,68,91,75,31,72,0,92,92,0,86,71,82,79,68,79,75,25,63,0,92,93,0,79,62,80,72,92,90,56,92,0,91,93,0,100,90,90,92,77,37,75,0,93,92,0,91,72,88,85,33,32,0,49,82,0,87,29,39,34,72,0,91,90,0,85,70,78,75,0,0,0,0,0,0,0,0,92,92,0,100,91,92,92,93,0,100,92,93,92,0,0,0,0,0,88,84,93,88,71,83,80,65.11747851002865
ROS,22,81,20,94,67,73,83,69,63,80,78,80,75,82,78,51,71,82,83,82,0,0,70,82,83,52,65,7,16,2,7,6,7,0,7,7,7,7,7,14,4,0,14,7,21,0,0,0,5,8,8,7,28,12,26,17,26,17,28,30,28,25,28,43,10,27,76,29,95,0,0,60,18,29,21,23,9,8,1,6,6,9,10,9,9,9,19,4,6,34,10,63,0,0,29,1,10,5,7,20,13,15,14,19,16,19,17,20,26,4,15,43,24,69,0,0,50,12,28,9,12,15,15,11,15,11,15,13,15,23,0,12,15,15,82,0,0,64,14,17,8,12,21,15,21,18,20,16,22,28,5,19,43,27,65,0,0,53,12,27,7,10,17,17,17,16,13,17,17,0,18,35,19,63,0,0,60,9,25,5,8,23,20,22,18,24,29,5,20,56,26,81,0,0,61,13,28,10,15,20,19,15,21,22,4,20,48,22,77,0,0,63,10,27,6,12,24,20,23,30,5,19,56,27,80,0,0,62,13,26,9,15,19,21,25,5,14,39,24,69,0,0,48,11,23,12,15,24,30,4,22,57,26,80,0,0,62,14,27,11,15,29,13,21,62,35,78,0,0,61,21,35,15,21,4,0,25,4,50,0,0,0,0,5,4,4,20,42,23,68,0,0,60,9,26,5,9,56,58,79,0,0,59,13,61,15,35,26,83,0,0,64,15,28,19,22,80,0,0,64,79,82,37,62,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,66,26,42,12,16,7,11,27,11,15,24.59025787965616
Rac1,22,81,20,94,67,73,83,69,63,80,78,80,75,82,78,51,71,82,83,82,84,0,70,82,83,52,65,7,16,2,7,6,7,0,7,7,7,7,7,14,4,0,14,7,21,4,0,0,5,8,8,7,28,12,26,17,26,17,28,30,28,25,28,43,10,27,76,29,95,8,0,60,18,29,21,23,9,8,1,6,6,9,10,9,9,9,19,4,6,34,10,63,6,0,29,1,10,5,7,20,13,15,14,19,16,19,17,20,26,4,15,43,24,69,6,0,50,12,28,9,12,15,15,11,15,11,15,13,15,23,0,12,15,15,82,0,0,64,14,17,8,12,21,15,21,18,20,16,22,28,5,19,43,27,65,7,0,53,12,27,7,10,17,17,17,16,13,17,17,0,18,35,19,63,6,0,60,9,25,5,8,23,20,22,18,24,29,5,20,56,26,81,7,0,61,13,28,10,15,20,19,15,21,22,4,20,48,22,77,6,0,63,10,27,6,12,24,20,23,30,5,19,56,27,80,7,0,62,13,26,9,15,19,21,25,5,14,39,24,69,6,0,48,11,23,12,15,24,30,4,22,57,26,80,7,0,62,14,27,11,15,29,13,21,62,35,78,7,0,61,21,35,15,21,4,0,25,4,50,4,0,0,0,5,4,4,20,42,23,68,5,0,60,9,26,5,9,56,58,79,40,0,59,13,61,15,35,26,83,8,0,64,15,28,19,22,80,84,0,64,79,82,37,62,7,0,63,0,7,5,6,0,0,0,0,0,0,62,62,66,26,42,12,16,7,11,27,11,15,25.707736389684815
RhoA,79,27,70,10,51,34,26,31,48,29,33,28,33,26,22,100,42,26,26,27,100,100,0,27,25,54,40,92,83,96,92,94,93,100,92,92,93,92,92,86,100,100,81,92,70,100,100,0,95,93,92,92,73,91,75,83,74,85,73,72,73,76,73,57,100,74,26,73,10,100,100,0,82,73,80,76,94,95,99,95,97,94,94,95,94,95,81,100,97,72,94,55,100,100,0,99,93,95,95,81,87,84,88,83,85,82,84,82,74,100,86,58,77,38,100,100,0,88,74,91,87,85,85,89,85,89,85,87,85,76,100,88,85,85,27,100,100,0,86,83,92,87,79,86,79,82,80,84,78,72,100,82,54,75,36,100,100,0,88,75,92,89,84,85,84,85,89,84,83,100,83,69,83,48,100,100,0,91,77,97,93,78,82,79,83,78,71,100,82,47,75,26,100,100,0,87,74,90,86,82,82,87,81,78,100,81,56,80,34,100,100,0,90,75,94,90,77,81,78,70,100,82,47,75,28,100,100,0,87,76,90,86,83,81,75,100,88,63,77,40,100,100,0,89,79,90,86,78,70,100,80,46,75,29,100,100,0,86,74,88,85,71,87,79,38,65,22,100,100,0,79,65,85,78,100,100,100,100,100,100,100,0,100,100,100,100,81,62,80,44,100,100,0,91,76,97,92,47,45,29,100,100,0,87,41,66,67,76,25,100,100,0,85,74,83,79,29,100,100,0,30,26,54,45,100,100,0,100,100,100,100,100,0,100,100,100,100,0,0,0,0,0,88,84,93,88,74,89,86,73.41260744985674
