,base,Arp2_3,Arp2_3_CP,Arp2_3_Cdc42,Arp2_3_Cofilin,Arp2_3_Coronin,Arp2_3_Cortactin,Arp2_3_Dia1,Arp2_3_Dia2,Arp2_3_Ena_Vasp,Arp2_3_IRSp53_Cdc42,Arp2_3_IRSp53_Rac1,Arp2_3_LIMK,Arp2_3_PAK,Arp2_3_PIP2,Arp2_3_PKD,Arp2_3_Profilin,Arp2_3_ROCK,Arp2_3_Rac1,Arp2_3_RhoA,Arp2_3_SSH,Arp2_3_Thymosin,Arp2_3_WASP,Arp2_3_WAVE,CP,CP_Cdc42,CP_Cofilin,CP_Coronin,CP_Cortactin,CP_Dia1,CP_Dia2,CP_Ena_Vasp,CP_IRSp53_Cdc42,CP_IRSp53_Rac1,CP_LIMK,CP_PAK,CP_PIP2,CP_PKD,CP_Profilin,CP_ROCK,CP_Rac1,CP_RhoA,CP_SSH,CP_Thymosin,CP_WASP,CP_WAVE,Cdc42,Cdc42_Cofilin,Cdc42_Coronin,Cdc42_Cortactin,Cdc42_Dia1,Cdc42_Dia2,Cdc42_Ena_Vasp,Cdc42_IRSp53_Cdc42,Cdc42_IRSp53_Rac1,Cdc42_LIMK,Cdc42_PAK,Cdc42_PIP2,Cdc42_PKD,Cdc42_Profilin,Cdc42_ROCK,Cdc42_Rac1,Cdc42_RhoA,Cdc42_SSH,Cdc42_Thymosin,Cdc42_WASP,Cdc42_WAVE,Cofilin,Cofilin_Coronin,Cofilin_Cortactin,Cofilin_Dia1,Cofilin_Dia2,Cofilin_Ena_Vasp,Cofilin_IRSp53_Cdc42,Cofilin_IRSp53_Rac1,Cofilin_LIMK,Cofilin_PAK,Cofilin_PIP2,Cofilin_PKD,Cofilin_Profilin,Cofilin_ROCK,Cofilin_Rac1,Cofilin_RhoA,Cofilin_SSH,Cofilin_Thymosin,Cofilin_WASP,Cofilin_WAVE,Coronin,Coronin_Cortactin,Coronin_Dia1,Coronin_Dia2,Coronin_Ena_Vasp,Coronin_IRSp53_Cdc42,Coronin_IRSp53_Rac1,Coronin_LIMK,Coronin_PAK,Coronin_PIP2,Coronin_PKD,Coronin_Profilin,Coronin_ROCK,Coronin_Rac1,Coronin_RhoA,Coronin_SSH,Coronin_Thymosin,Coronin_WASP,Coronin_WAVE,Cortactin,Cortactin_Dia1,Cortactin_Dia2,Cortactin_Ena_Vasp,Cortactin_IRSp53_Cdc42,Cortactin_IRSp53_Rac1,Cortactin_LIMK,Cortactin_PAK,Cortactin_PIP2,Cortactin_PKD,Cortactin_Profilin,Cortactin_ROCK,Cortactin_Rac1,Cortactin_RhoA,Cortactin_SSH,Cortactin_Thymosin,Cortactin_WASP,Cortactin_WAVE,Dia1,Dia1_Dia2,Dia1_Ena_Vasp,Dia1_IRSp53_Cdc42,Dia1_IRSp53_Rac1,Dia1_LIMK,Dia1_PAK,Dia1_PIP2,Dia1_PKD,Dia1_Profilin,Dia1_ROCK,Dia1_Rac1,Dia1_RhoA,Dia1_SSH,Dia1_Thymosin,Dia1_WASP,Dia1_WAVE,Dia2,Dia2_Ena_Vasp,Dia2_IRSp53_Cdc42,Dia2_IRSp53_Rac1,Dia2_LIMK,Dia2_PAK,Dia2_PIP2,Dia2_PKD,Dia2_Profilin,Dia2_ROCK,Dia2_Rac1,Dia2_RhoA,Dia2_SSH,Dia2_Thymosin,Dia2_WASP,Dia2_WAVE,Ena_Vasp,Ena_Vasp_IRSp53_Cdc42,Ena_Vasp_IRSp53_Rac1,Ena_Vasp_LIMK,Ena_Vasp_PAK,Ena_Vasp_PIP2,Ena_Vasp_PKD,Ena_Vasp_Profilin,Ena_Vasp_ROCK,Ena_Vasp_Rac1,Ena_Vasp_RhoA,Ena_Vasp_SSH,Ena_Vasp_Thymosin,Ena_Vasp_WASP,Ena_Vasp_WAVE,IRSp53_Cdc42,IRSp53_Cdc42_IRSp53_Rac1,IRSp53_Cdc42_LIMK,IRSp53_Cdc42_PAK,IRSp53_Cdc42_PIP2,IRSp53_Cdc42_PKD,IRSp53_Cdc42_Profilin,IRSp53_Cdc42_ROCK,IRSp53_Cdc42_Rac1,IRSp53_Cdc42_RhoA,IRSp53_Cdc42_SSH,IRSp53_Cdc42_Thymosin,IRSp53_Cdc42_WASP,IRSp53_Cdc42_WAVE,IRSp53_Rac1,IRSp53_Rac1_LIMK,IRSp53_Rac1_PAK,IRSp53_Rac1_PIP2,IRSp53_Rac1_PKD,IRSp53_Rac1_Profilin,IRSp53_Rac1_ROCK,IRSp53_Rac1_Rac1,IRSp53_Rac1_RhoA,IRSp53_Rac1_SSH,IRSp53_Rac1_Thymosin,IRSp53_Rac1_WASP,IRSp53_Rac1_WAVE,LIMK,LIMK_PAK,LIMK_PIP2,LIMK_PKD,LIMK_Profilin,LIMK_ROCK,LIMK_Rac1,LIMK_RhoA,LIMK_SSH,LIMK_Thymosin,LIMK_WASP,LIMK_WAVE,PAK,PAK_PIP2,PAK_PKD,PAK_Profilin,PAK_ROCK,PAK_Rac1,PAK_RhoA,PAK_SSH,PAK_Thymosin,PAK_WASP,PAK_WAVE,PIP2,PIP2_PKD,PIP2_Profilin,PIP2_ROCK,PIP2_Rac1,PIP2_RhoA,PIP2_SSH,PIP2_Thymosin,PIP2_WASP,PIP2_WAVE,PKD,PKD_Profilin,PKD_ROCK,PKD_Rac1,PKD_RhoA,PKD_SSH,PKD_Thymosin,PKD_WASP,PKD_WAVE,Profilin,Profilin_ROCK,Profilin_Rac1,Profilin_RhoA,Profilin_SSH,Profilin_Thymosin,Profilin_WASP,Profilin_WAVE,ROCK,ROCK_Rac1,ROCK_RhoA,ROCK_SSH,ROCK_Thymosin,ROCK_WASP,ROCK_WAVE,Rac1,Rac1_RhoA,Rac1_SSH,Rac1_Thymosin,Rac1_WASP,Rac1_WAVE,RhoA,RhoA_SSH,RhoA_Thymosin,RhoA_WASP,RhoA_WAVE,SSH,SSH_Thymosin,SSH_WASP,SSH_WAVE,Thymosin,Thymosin_WASP,Thymosin_WAVE,WASP,WASP_WAVE,WAVE,mean
Dia2,85,41,34,81,41,43,41,49,0,41,42,40,40,90,50,41,40,37,50,0,39,40,42,40,83,68,71,83,76,87,0,83,83,70,83,79,83,85,83,86,48,63,81,84,53,67,74,75,72,74,81,0,74,73,74,74,90,79,75,72,75,100,30,73,74,75,76,75,85,59,77,0,73,74,72,75,90,75,69,83,74,50,50,84,87,54,67,86,85,89,0,86,86,79,86,90,89,87,87,87,51,65,85,87,69,84,78,84,0,78,79,68,81,90,89,77,86,76,50,51,86,87,45,42,88,0,88,89,76,88,100,89,87,90,86,51,63,88,90,56,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,86,73,85,90,88,85,86,86,49,62,85,87,56,71,86,72,85,90,88,85,86,87,50,61,85,87,55,72,72,74,90,76,65,86,73,51,48,76,82,52,71,86,90,88,85,85,87,51,61,86,88,55,72,90,100,88,90,87,100,0,90,90,90,90,89,88,88,87,48,60,87,89,57,75,86,86,86,52,62,84,88,53,62,86,88,50,65,86,86,72,82,86,52,65,85,87,56,68,50,0,52,51,53,51,62,62,65,28,41,85,87,64,84,87,61,82,56,44,71,66.23104693140795
Ena_Vasp,93,92,86,85,93,96,93,96,93,0,78,93,92,94,95,62,93,59,98,66,97,97,87,93,91,80,80,91,84,94,91,0,87,90,94,90,86,87,90,94,99,85,87,96,68,89,85,67,86,73,89,85,0,86,86,92,86,84,70,85,79,96,68,82,97,45,85,84,85,85,85,84,0,66,85,86,94,79,69,82,73,97,70,87,99,74,90,94,88,96,94,0,84,94,95,98,98,80,94,82,100,80,91,100,76,93,86,91,87,0,81,88,88,94,82,73,88,76,98,74,89,93,77,91,94,94,0,92,94,97,95,93,83,95,85,98,84,93,99,79,95,93,0,90,94,96,94,91,83,93,87,97,85,92,98,73,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,90,93,91,90,82,88,87,83,80,76,99,23,87,93,96,94,93,84,93,87,98,84,91,99,73,92,96,95,97,84,96,87,98,84,95,99,73,96,93,92,63,95,66,98,66,98,97,87,95,92,73,91,79,96,73,92,97,78,92,82,84,89,66,85,75,86,47,77,92,88,98,85,90,99,70,93,86,64,86,76,90,50,83,98,66,100,98,96,97,84,75,88,48,77,91,100,75,93,99,72,98,75,78,91,79.4043321299639
IRSp53_Cdc42,49,49,48,0,50,49,50,51,50,51,0,51,50,50,50,47,51,49,50,52,53,51,49,51,52,0,51,51,50,50,52,50,0,49,51,49,49,49,49,51,52,52,49,50,48,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,48,49,50,50,0,49,52,48,50,50,51,52,50,51,51,51,48,50,50,53,52,51,51,0,49,52,50,49,53,49,49,49,50,48,49,54,47,51,51,47,53,0,50,51,49,47,51,50,50,50,47,52,49,50,48,51,51,46,0,52,48,48,50,50,52,50,49,53,47,48,50,51,51,51,0,52,51,50,48,51,51,50,51,49,52,50,50,52,50,0,49,51,48,55,51,50,49,51,50,51,51,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,52,50,49,47,49,49,49,48,48,48,48,51,48,51,51,51,48,52,49,48,51,54,49,50,48,50,49,53,50,51,50,51,50,51,51,49,50,49,52,52,49,50,47,48,51,51,50,47,48,51,51,52,47,48,50,52,50,49,51,47,49,49,48,48,48,51,49,50,50,50,49,48,49,47,49,50,49,51,48,49,51,50,51,51,48,51,51,51,49,49,41.82310469314079
IRSp53_Rac1,62,5,10,10,4,5,5,0,5,4,5,0,5,13,0,6,4,6,0,0,5,5,5,4,67,37,54,66,58,59,67,66,65,0,67,30,66,71,67,78,0,63,64,67,34,48,31,31,35,26,25,31,31,33,0,30,15,28,36,35,50,0,30,32,33,25,25,52,63,26,47,50,51,50,0,51,14,46,48,63,60,0,50,62,67,23,34,63,65,62,65,65,65,0,66,13,62,67,64,73,0,65,61,64,48,58,54,52,53,54,55,0,56,14,55,55,64,58,0,51,62,64,14,6,60,60,57,60,0,57,0,58,58,63,63,0,63,59,61,23,42,63,63,63,0,63,15,58,65,64,72,0,62,64,66,31,44,63,64,0,64,14,64,64,64,72,0,62,64,66,31,44,63,0,62,14,62,65,65,74,0,61,62,64,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,63,14,61,65,64,73,0,61,65,68,29,46,14,0,24,14,26,0,0,13,14,14,14,59,61,63,66,0,60,60,61,22,43,65,66,72,0,62,63,68,30,37,64,75,0,65,65,64,50,58,70,0,65,72,74,38,49,0,0,0,0,0,0,62,62,65,28,41,64,66,41,59,64,38,59,30,12,44,39.04332129963899
LIMK,35,78,73,82,79,96,79,82,78,78,79,78,0,89,81,35,78,27,86,36,97,78,79,79,31,61,33,39,33,36,32,32,34,31,0,84,33,5,33,1,86,2,95,32,43,36,62,62,76,67,67,62,65,62,66,0,86,66,14,61,0,93,0,92,63,67,67,36,42,37,39,35,35,36,37,0,87,37,9,32,2,85,2,96,31,52,39,42,40,43,41,40,40,47,0,100,44,20,41,1,100,1,96,40,55,47,35,39,38,34,36,36,0,85,39,9,34,1,86,2,97,35,50,51,35,35,38,36,34,0,86,37,14,33,1,87,2,97,36,52,40,33,33,34,32,0,86,39,9,34,1,84,2,96,30,46,36,35,33,35,0,87,33,11,35,1,86,2,96,32,44,38,33,35,0,87,35,9,33,1,84,2,96,34,46,39,34,0,86,37,9,33,1,85,3,96,35,49,37,0,0,0,0,0,0,0,0,0,0,0,0,86,85,21,88,0,92,0,100,86,84,88,37,12,34,2,85,2,97,37,53,39,10,9,1,58,2,87,7,15,10,34,1,85,1,96,34,41,36,1,33,1,75,0,5,2,86,36,100,85,86,86,2,65,0,12,3,96,96,97,97,33,42,32,46,61,40,42.75812274368231
NET1,36,44,40,88,44,46,44,49,44,44,45,43,44,100,50,42,43,36,50,48,43,43,46,43,32,63,33,33,33,38,31,32,34,33,32,100,34,28,33,21,48,34,33,33,36,35,69,69,65,71,75,69,69,67,69,70,100,72,64,65,50,100,70,68,67,75,75,35,35,41,40,36,35,36,37,35,100,38,33,33,25,50,35,35,33,42,42,35,32,37,34,34,34,35,33,100,38,32,35,26,51,35,37,36,32,38,35,40,39,35,35,38,36,100,43,32,35,29,50,42,36,36,41,44,37,38,41,37,36,40,100,39,38,35,34,51,34,40,39,41,41,35,35,35,34,35,100,40,31,34,26,49,36,34,34,38,37,36,35,37,34,100,33,32,35,26,49,35,34,34,37,39,35,34,36,100,36,33,35,25,50,36,36,36,38,41,35,33,100,39,34,34,27,51,36,37,36,39,38,36,100,36,32,35,26,51,37,34,32,39,38,100,100,100,100,100,100,100,100,100,100,100,39,37,36,32,48,37,37,39,43,39,32,32,26,52,35,35,31,36,37,35,24,50,34,34,36,36,36,28,52,33,25,26,33,31,50,51,52,51,53,51,36,35,35,40,41,34,34,36,37,36,35,36,38,42,38,45.09747292418773
PAK,64,54,58,10,54,54,55,51,55,55,54,56,55,0,50,53,56,54,50,52,57,57,54,55,68,37,67,67,65,62,69,68,66,67,68,0,66,72,67,79,52,66,67,67,64,65,31,31,35,26,25,31,31,33,31,30,0,28,36,35,50,0,30,32,33,25,25,65,65,56,60,64,65,64,63,65,0,62,67,67,75,50,65,65,67,58,58,65,68,63,66,66,66,65,67,0,62,68,65,74,49,65,63,64,68,62,63,60,60,64,63,62,63,0,57,65,65,67,50,58,64,64,59,54,63,62,59,63,64,60,0,61,62,65,66,49,66,60,61,59,59,65,65,65,66,65,0,60,69,66,74,51,64,66,66,62,63,64,65,63,66,0,67,68,65,74,51,65,66,66,63,61,65,66,64,0,64,67,65,75,50,64,64,64,62,59,65,67,0,61,66,66,73,49,64,63,64,61,62,64,0,64,68,65,74,49,63,66,68,61,62,0,0,0,0,0,0,0,0,0,0,0,61,63,64,68,52,63,63,61,57,61,68,68,74,48,65,65,69,64,63,65,76,50,66,66,64,64,64,72,48,67,75,74,67,69,50,49,48,49,47,49,64,65,65,60,59,66,66,64,63,64,65,64,62,58,62,54.70036101083033
PIP2,50,50,50,48,46,51,50,51,50,50,51,49,52,50,0,45,46,40,51,50,50,54,50,46,50,49,50,50,49,46,49,50,49,51,49,50,0,48,50,49,50,47,52,51,49,53,51,49,52,46,49,51,50,49,50,49,49,0,52,53,51,48,51,50,53,50,51,49,50,49,50,49,52,50,50,50,49,0,51,49,51,50,49,51,53,51,50,52,50,51,47,49,51,50,50,51,0,51,48,49,49,52,51,50,49,51,49,52,50,50,48,48,50,50,0,47,50,44,49,50,51,49,50,47,48,49,47,48,51,49,51,0,50,51,52,52,50,50,51,49,49,51,51,52,49,48,51,0,50,51,52,48,51,50,50,53,49,49,53,48,50,49,0,48,49,50,48,51,51,49,51,48,49,52,51,51,0,51,50,51,50,49,49,49,51,47,50,50,50,0,48,49,51,49,50,49,49,51,50,50,48,0,49,50,49,49,54,52,48,52,47,49,0,48,50,51,50,50,50,49,49,51,0,0,0,0,0,0,0,0,0,0,51,50,51,52,51,53,49,52,52,49,47,47,48,49,51,51,49,50,52,52,49,50,50,46,51,51,49,50,49,52,49,49,50,50,49,52,47,49,51,49,51,51,52,50,50,45.67870036101083
PKD,22,36,29,72,38,42,37,44,36,37,37,35,35,79,46,0,36,0,46,0,38,34,38,36,17,32,17,20,19,25,16,17,19,17,18,62,18,0,17,0,45,0,19,17,20,21,39,39,40,44,48,38,40,37,40,40,75,46,0,35,0,93,0,43,38,45,47,21,23,27,26,22,20,22,23,22,77,24,0,19,0,45,0,24,19,26,29,24,21,28,22,23,23,23,22,87,28,0,24,0,51,0,25,24,22,27,22,28,26,22,23,23,23,74,29,0,20,0,47,0,26,22,26,35,25,25,27,26,23,27,86,27,0,24,0,48,0,29,26,29,29,21,20,21,21,21,75,27,0,20,0,45,0,23,19,23,23,22,20,22,20,76,21,0,22,0,45,0,22,20,22,25,22,20,22,76,24,0,20,0,45,0,24,22,23,26,21,20,76,26,0,20,0,47,0,25,22,25,24,22,77,24,0,20,0,48,0,23,19,25,26,76,85,0,77,0,92,0,87,76,74,78,26,0,22,0,44,0,27,26,30,27,0,0,0,0,0,0,0,0,0,20,0,46,0,22,21,21,22,0,0,0,0,0,0,0,46,0,52,48,49,47,0,0,0,0,0,22,23,25,27,22,21,21,24,29,25,25.43682310469314
Profilin,79,48,62,36,42,47,49,39,47,45,46,47,49,60,36,44,0,39,51,37,49,77,8,44,88,79,81,84,80,73,88,89,88,88,89,86,85,91,0,94,78,81,83,93,52,79,66,61,67,57,54,65,66,68,61,66,42,48,72,0,82,43,63,64,75,40,49,74,76,44,67,71,73,72,61,72,55,64,70,0,78,49,70,76,88,17,44,76,80,74,79,78,78,74,78,62,72,81,0,83,52,77,75,85,34,55,70,66,70,70,70,68,74,61,63,71,0,74,52,68,74,85,25,46,74,75,73,75,75,74,39,68,77,0,81,44,79,72,86,28,61,80,80,79,80,81,62,68,82,0,87,54,80,77,87,40,67,79,81,77,82,61,74,81,0,88,52,80,79,86,42,67,80,79,82,63,72,83,0,90,53,78,77,86,41,66,78,82,60,67,82,0,87,53,78,66,86,23,68,82,63,71,83,0,87,57,79,78,87,41,73,59,39,62,0,65,64,40,61,73,21,56,69,72,0,78,41,71,71,72,39,60,82,0,89,53,80,78,86,45,72,0,0,0,0,0,0,0,0,86,52,83,81,90,54,78,54,42,50,75,1,51,79,75,88,36,68,78,87,30,48,86,64,86,40,0,66,60.942238267148014
ROCK,22,36,29,72,38,42,37,44,36,37,37,35,35,79,46,27,36,0,46,0,38,34,38,36,17,32,17,20,19,25,16,17,19,17,18,62,18,9,17,0,45,0,19,17,20,21,39,39,40,44,48,38,40,37,40,40,75,46,22,35,0,93,0,43,38,45,47,21,23,27,26,22,20,22,23,22,77,24,12,19,0,45,0,24,19,26,29,24,21,28,22,23,23,23,22,87,28,21,24,0,51,0,25,24,22,27,22,28,26,22,23,23,23,74,29,12,20,0,47,0,26,22,26,35,25,25,27,26,23,27,86,27,17,24,0,48,0,29,26,29,29,21,20,21,21,21,75,27,11,20,0,45,0,23,19,23,23,22,20,22,20,76,21,13,22,0,45,0,22,20,22,25,22,20,22,76,24,12,20,0,45,0,24,22,23,26,21,20,76,26,12,20,0,47,0,25,22,25,24,22,77,24,12,20,0,48,0,23,19,25,26,76,85,34,77,0,92,0,87,76,74,78,26,16,22,0,44,0,27,26,30,27,13,13,0,44,0,23,11,13,14,20,0,46,0,22,21,21,22,0,0,0,0,0,0,0,46,0,52,48,49,47,0,0,0,0,0,22,23,25,27,22,21,21,24,29,25,26.740072202166065
ROS,62,5,10,10,4,5,5,0,5,4,5,5,5,13,0,6,4,6,0,0,5,5,5,4,67,37,54,66,58,59,67,66,65,53,67,30,66,71,67,78,0,63,64,67,34,48,31,31,35,26,25,31,31,33,31,30,15,28,36,35,50,0,30,32,33,25,25,52,63,26,47,50,51,50,48,51,14,46,48,63,60,0,50,62,67,23,34,63,65,62,65,65,65,58,66,13,62,67,64,73,0,65,61,64,48,58,54,52,53,54,55,42,56,14,55,55,64,58,0,51,62,64,14,6,60,60,57,60,49,57,0,58,58,63,63,0,63,59,61,23,42,63,63,63,52,63,15,58,65,64,72,0,62,64,66,31,44,63,64,49,64,14,64,64,64,72,0,62,64,66,31,44,63,51,62,14,62,65,65,74,0,61,62,64,29,43,50,53,14,47,44,65,58,0,48,52,59,26,45,63,14,61,65,64,73,0,61,65,68,29,46,14,0,24,14,26,0,0,13,14,14,14,59,61,63,66,0,60,60,61,22,43,65,66,72,0,62,63,68,30,37,64,75,0,65,65,64,50,58,70,0,65,72,74,38,49,0,0,0,0,0,0,62,62,65,28,41,64,66,41,59,64,38,59,30,12,44,42.64981949458484
Rac1,62,5,10,10,4,5,5,0,5,4,5,5,5,13,0,6,4,6,0,0,5,5,5,4,67,37,54,66,58,59,67,66,65,53,67,30,66,71,67,78,0,63,64,67,34,48,31,31,35,26,25,31,31,33,31,30,15,28,36,35,50,0,30,32,33,25,25,52,63,26,47,50,51,50,48,51,14,46,48,63,60,0,50,62,67,23,34,63,65,62,65,65,65,58,66,13,62,67,64,73,0,65,61,64,48,58,54,52,53,54,55,42,56,14,55,55,64,58,0,51,62,64,14,6,60,60,57,60,49,57,0,58,58,63,63,0,63,59,61,23,42,63,63,63,52,63,15,58,65,64,72,0,62,64,66,31,44,63,64,49,64,14,64,64,64,72,0,62,64,66,31,44,63,51,62,14,62,65,65,74,0,61,62,64,29,43,50,53,14,47,44,65,58,0,48,52,59,26,45,63,14,61,65,64,73,0,61,65,68,29,46,14,0,24,14,26,0,0,13,14,14,14,59,61,63,66,0,60,60,61,22,43,65,66,72,0,62,63,68,30,37,64,75,0,65,65,64,50,58,70,0,65,72,74,38,49,0,0,0,0,0,0,62,62,65,28,41,64,66,41,59,64,38,59,30,12,44,42.64981949458484
RhoA,25,39,31,79,40,42,40,49,40,40,41,39,39,87,50,39,39,34,50,0,38,39,41,39,19,36,20,20,21,29,18,19,21,19,20,70,20,16,19,8,48,0,19,19,23,23,45,46,40,50,56,45,45,42,45,46,85,52,41,40,24,100,0,43,42,53,55,24,23,35,30,25,24,25,26,25,86,29,22,22,14,50,0,24,22,33,35,24,21,28,22,23,23,23,22,87,28,21,24,13,51,0,25,24,22,27,25,33,28,25,26,27,26,86,34,23,23,17,50,0,26,25,33,38,28,29,31,29,27,31,100,31,28,26,23,51,0,29,29,33,34,24,23,24,24,24,85,31,21,22,14,49,0,23,21,27,28,25,23,26,23,86,24,22,24,14,49,0,22,23,26,29,24,23,25,86,26,21,23,13,50,0,24,24,27,31,24,22,86,29,22,22,15,51,0,25,24,28,28,25,86,27,21,22,14,51,0,23,21,28,28,86,100,76,86,74,100,0,87,86,86,86,29,27,25,21,48,0,27,28,35,32,22,21,14,52,0,23,21,24,26,23,12,50,0,22,23,24,26,15,52,0,13,14,19,19,50,0,52,51,53,51,0,0,0,0,0,22,23,25,27,24,24,25,28,35,28,31.895306859205775
SSH,64,17,18,8,16,0,17,18,18,18,17,18,17,11,19,58,18,47,14,28,0,18,17,17,66,34,64,55,62,64,66,65,63,66,64,16,64,93,64,99,14,85,0,65,54,60,35,35,15,27,33,36,33,36,32,32,14,34,84,37,92,7,73,0,35,30,30,63,54,58,61,63,63,63,62,63,13,63,90,66,94,15,83,0,67,46,59,54,57,55,56,56,56,49,57,0,54,67,55,73,0,65,0,56,41,49,61,61,58,63,61,62,60,15,61,86,64,88,14,80,0,64,48,45,65,65,62,64,66,61,14,63,86,67,88,13,83,0,64,48,60,65,66,64,66,65,14,61,90,64,93,16,84,0,68,52,62,64,65,63,65,13,67,88,64,94,14,85,0,67,54,60,65,64,62,13,65,91,65,95,16,83,0,64,52,59,65,66,13,63,91,65,94,15,83,0,63,49,61,64,13,66,91,64,93,14,83,0,68,50,60,14,15,79,12,72,8,36,0,14,16,12,63,88,66,88,15,83,0,63,47,61,90,90,96,42,88,0,93,85,89,65,95,15,87,0,64,58,62,93,31,89,0,95,90,90,14,26,0,15,14,14,83,0,85,71,78,0,0,0,0,66,56,66,53,37,59,49.49097472924188
Thymosin,24,45,46,62,53,50,45,46,46,48,47,45,44,48,60,32,44,34,48,43,49,0,94,46,21,37,52,29,29,24,21,20,22,20,14,45,27,7,24,4,46,13,40,0,60,28,37,63,36,49,40,37,38,36,39,28,61,51,16,34,11,64,21,45,0,78,45,50,49,52,50,52,50,50,51,50,55,64,50,50,48,52,49,49,0,100,51,31,29,29,28,30,30,28,28,48,24,26,30,23,48,25,39,0,84,34,30,31,32,30,31,31,26,46,40,15,25,12,45,19,47,0,66,44,24,22,25,24,20,21,46,31,12,24,12,44,14,39,0,67,30,22,22,24,21,17,46,32,11,26,10,44,13,39,0,64,28,23,22,23,17,46,26,13,26,10,46,13,40,0,61,29,23,22,17,45,28,10,24,8,43,15,40,0,62,29,23,16,44,31,10,21,9,46,14,42,0,67,28,17,43,21,10,18,10,42,13,30,0,63,24,48,53,33,45,36,46,39,49,0,92,48,31,12,26,12,55,18,46,0,53,33,12,12,7,37,10,40,0,46,17,25,11,45,15,40,0,58,28,11,42,11,38,0,39,16,45,40,50,0,92,47,15,39,0,52,21,39,0,100,43,0,0,0,64,83,30,32.812274368231044
WASP,74,50,51,31,45,50,52,50,51,49,50,51,52,49,36,48,52,44,51,50,51,77,0,49,77,58,48,67,66,73,77,78,75,77,80,54,68,86,74,91,53,82,57,90,0,70,57,37,57,40,54,57,56,59,55,63,31,38,70,60,79,32,68,50,75,0,49,50,51,45,50,48,50,50,49,50,45,36,50,50,52,48,51,51,88,0,49,66,70,68,69,67,67,68,68,52,69,70,67,73,52,71,58,85,0,63,64,66,63,65,64,65,67,51,51,68,71,70,53,69,52,80,0,51,73,74,72,74,77,76,51,63,80,73,82,54,81,59,86,0,67,75,75,74,77,78,52,62,81,72,85,54,82,58,87,0,67,74,75,74,79,51,69,80,71,84,52,82,58,86,0,68,75,76,79,53,67,82,73,87,53,80,58,86,0,67,75,80,53,64,81,76,85,52,81,55,86,0,69,79,54,71,82,78,85,56,82,67,87,0,72,48,39,51,53,53,52,51,51,73,0,50,64,72,68,78,41,71,50,72,0,60,80,81,87,53,83,59,86,0,72,72,84,53,80,57,87,0,69,83,50,84,60,90,0,78,53,54,50,75,0,51,80,58,88,0,72,59,87,0,55,86,0,86,0,0,66,59.501805054151625
WAVE,73,10,20,18,8,10,10,0,9,9,9,5,10,25,0,9,8,8,0,0,9,10,10,0,79,64,76,79,70,68,80,80,78,53,79,56,79,83,81,91,0,73,79,81,58,0,55,54,60,47,44,55,55,58,31,54,27,48,59,60,76,0,52,57,58,47,0,71,76,33,64,69,70,69,48,69,25,62,68,75,79,0,68,73,78,41,0,75,76,71,77,76,76,58,77,26,72,78,76,86,0,76,74,76,64,0,64,59,63,63,64,42,66,27,63,64,76,70,0,59,72,75,28,0,69,68,67,68,49,67,0,67,68,72,74,0,72,69,70,41,0,74,74,74,52,74,28,67,76,76,84,0,73,75,79,53,0,73,75,49,75,26,73,74,76,85,0,73,76,77,53,0,74,51,73,27,71,76,77,86,0,71,75,75,51,0,50,53,14,47,44,65,58,0,48,52,59,26,0,74,26,70,76,77,84,0,71,76,78,51,0,26,0,33,26,37,0,0,26,26,26,0,69,71,74,77,0,70,71,71,39,0,75,77,85,0,72,74,79,54,0,76,87,0,76,77,77,67,0,83,0,77,85,86,65,0,0,0,0,0,0,0,72,75,75,48,0,75,77,57,0,76,61,0,51,0,0,49.144404332129966
